index,disease_name,supplement name,supplement image,buy link
0,Apple___Apple_scab,Katyayani Prozol Propiconazole 25% EC Systematic Fungicide,/static/images/supplements/supp_0.jpg,https://katyayaniorganics.com/
1,Apple___Black_rot,Magic FungiX For Fungal disease,/static/images/supplements/supp_1.jpg,https://agribegri.com/products/buy-fungicide-online-india--organic-fungicide--yield-enhancer.php
2,Apple___Cedar_apple_rust,Katyayani All in 1 Organic Fungicide,/static/images/supplements/supp_2.jpg,https://katyayaniorganics.com/
3,Apple___healthy,Tapti Booster Organic Fertilizer,/static/images/supplements/supp_3.jpg,https://agribegri.com/products/tapti-booster-500-ml--organic-fertilizer-online-in-india.php
4,Background_without_leaves,,,
5,Blueberry___healthy,GreenStix Fertilizer,/static/images/supplements/supp_5.jpg,https://lazygardener.in/products/greenstix?variant=30920527020087&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&utm_campaign=gs-2019-10-29&utm_source=google&utm_medium=smart_campaign
6,Cherry___Powdery_mildew,ROM Mildew Clean,/static/images/supplements/supp_6.jpg,https://agribegri.com/products/rom-mildew-clean-1-kg--price-of-organic-fungicide-online-.php
7,Cherry___healthy,Plantic Organic BloomDrop Liquid Plant Food ,/static/images/supplements/supp_7.jpg,https://plantic.in/products/organic-bloomdrop
8,Corn___Cercospora_leaf_spot Gray_leaf_spot,ANTRACOL FUNGICIDE,/static/images/supplements/supp_8.jpg,https://www.bighaat.com/products/antracol?variant=14521365063&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic
9,Corn___Common_rust,3 STAR M45 Mancozeb 75% WP Contact Fungicide,/static/images/supplements/supp_9.jpg,https://agribegri.com/products/buy-online-3-star-m45-mancozeb-75-wp.php
10,Corn___Northern_Leaf_Blight,QUIT (Carbendazim 12% + Mancozeb 63% WP) Protective And Curative Fungicide,/static/images/supplements/supp_10.jpg,https://www.bighaat.com/products/upl-saaf-fungicide
11,Corn___healthy,Biomass Lab Sampoorn Fasal Ahaar (Multipurpose Organic Fertilizer & Plant Food),/static/images/supplements/supp_11.jpg,https://www.flipkart.com/biomass-lab-sampoorn-fasal-ahaar-multipurpose-organic-fertilizer-plant-food-1-kg-fertilizer-manure/p/itm69c56f2e19c6a?pid=SMNFM3999GGTXFJZ&lid=LSTSMNFM3999GGTXFJZPRQ8CT&marketplace=FLIPKART&cmpid=content_soil-manure_8965229628_gmc
12,Grape___Black_rot,Southern Ag Captan 50% WP Fungicide,/static/images/supplements/supp_12.jpg,https://www.cart2india.com/beneficial-insects/southern-ag-captan-50-wp-fungicide-8-oz/00000000004336428163
13,Grape___Esca_(Black_Measles),ALIETTE FUNGICIDE,/static/images/supplements/supp_13.jpg,https://www.bighaat.com/products/aliette-fungicide
14,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),"Tebulur Tebuconazole 10% + Sulphur 65% WG , Advance Broad Spectrum Premix Fungicides",/static/images/supplements/supp_14.jpg,https://agribegri.com/products/buy-tebuconazole-10--sulphur-65-wg-online--online-agro-store.php
